expocode,platform_name,platform_type,organization,investigators,country
069920180814,Malizia,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920180921,Malizia,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920181126,Malizia,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920190503,Malizia,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920190509,Malizia,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920190602,Malizia,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920190803,Malizia,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920200703,Sea Explorer,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920201009,Sea Explorer,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920201108,Sea Explorer,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920201125,Sea Explorer,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920201211,Sea Explorer,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920201226,Sea Explorer,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920210106,Sea Explorer,Ship,Max Planck Inst,"Landschuetzer, P.",Germany
069920211113,Waveglider GEOMAR 4,Ship,Geomar,Paulsen M. : Fielder B. and Koertzinger A.,Germany
069920220226,GEOMAR surface buoy 1,Mooring,Geomar,Paulsen M. : Fielder B. and Koertzinger A.,Germany
069920230226,Sea Explorer,Ship,Alfred Wegener Inst,"Olivier, L.",Germany
069920230424,Sea Explorer,Ship,Alfred Wegener Inst,"Olivier, L.",Germany
069920230521,Sea Explorer,Ship,Alfred Wegener Inst,"Olivier, L.",Germany
069920240501,Sea Explorer,Ship,Alfred Wegener Inst,"Olivier, L.",Germany
06AQ19860627,Polarstern,Ship,Scripps Inst Ocean,"Weiss, R.",USA
06AQ19860928,Polarstern,Ship,Scripps Inst Ocean,"Weiss, R.",USA
06AQ19911114,Polarstern,Ship,Leibniz IOW,"Schneider, B.",Germany
06AQ19911210,Polarstern,Ship,Leibniz IOW,"Schneider, B.",Germany
06AQ19921005,Polarstern,Ship,NIOZ,"Bakker, D.",Netherlands
06AQ19930128,Polarstern,Ship,NIOZ,"Bakker, D.",Netherlands
06AQ19930228,Polarstern,Ship,Leibniz IOW,"Schneider, B.",Germany
06AQ19931019,Polarstern,Ship,NIOZ,"Bakker, D.",Netherlands
06AQ19940524,Polarstern,Ship,NIOZ,"Bakker, D.",Netherlands
06AQ19951112,Polarstern,Ship,Geomar,"Koertzinger, A.",Germany
06AQ19960320,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M.",Germany
06AQ19980411,Polarstern,Ship,Bjerknes Centre Clim Res : Alfred Wegener Inst,"Bellerby, R.G.J. : Hoppema, M.",Norway
06AQ19990327,Polarstern,Ship,Bjerknes Centre Clim Res : NIOZ,"Bellerby, R.G.J. : de Baar, H.J.W.",Norway
06AQ20001004,Polarstern,Ship,Univ East Anglia,"Bakker, D.",UK
06AQ20001026,Polarstern,Ship,Univ East Anglia,"Bakker, D.",UK
06AQ20021126,Polarstern,Ship,Univ East Anglia : Alfred Wegener Inst,"Bakker, D. : Hoppema, M.",Germany
06AQ20021214,Polarstern,Ship,Univ East Anglia : Alfred Wegener Inst,"Bakker, D. : Hoppema, M.",Germany
06AQ20071203,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20080209,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20080416,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20080624,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20080705,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20090109,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20090322,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20090413,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20090622,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20090711,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20090806,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20091023,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20091129,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20100131,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20100408,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20101026,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20110617,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20110715,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20110806,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20111214,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20120108,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20120318,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20120411,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20120615,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20120716,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20120803,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20131110,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20131221,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M. : Jones, E.",Germany
06AQ20140309,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20140608,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20140707,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20140805,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20141026,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20141203,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20150204,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20150519,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20150629,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20150818,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20151030,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20151207,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20160220,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20160412,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20160614,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20160720,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20170205,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20170321,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20170524,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20170723,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20170822,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20170912,Polarstern,Ship,NIOZ : Alfred Wegener Inst,"van Heuven, S. : Hoppema, M.",Germany
06AQ20200101,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200201,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200301,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200401,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200501,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200601,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200701,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200801,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20200901,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06AQ20201001,Polarstern,Ship,Alfred Wegener Inst,"Hoppema, M : van Heuven, S : Roden, N P",Germany
06BE19961010,Sonne,Ship,Geomar,"Koertzinger, A.",Germany
06BE19970515,Sonne,Ship,Hamburg Univ,"Lendt, R.",Germany
06BE19970612,Sonne,Ship,Hamburg Univ,"Lendt, R.",Germany
06BE20140710,Sonne,Ship,Geomar,"Steinhoff, T. : Koertzinger, A.",Germany
06BE20140723,Sonne,Ship,Geomar,"Steinhoff, T. : Koertzinger, A.",Germany
06CK20060523,Cap Victor,Ship,NOAA PMEL,"Feely, R.",USA
06CK20060715,Cap Victor,Ship,NOAA PMEL,"Feely, R.",USA
06CK20060821,Cap Victor,Ship,NOAA PMEL,"Feely, R.",USA
06GA19960613,Gauss,Ship,Leibniz IOW,"Schneider, B.",Germany
06LB19831130,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19840107,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19840629,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19850110,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19850313,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19850812,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19860116,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19860323,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19860801,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19861011,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19861214,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19870221,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19870501,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19870721,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19870920,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19871126,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19871231,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06LB19880204,Lilooet,Ship,Inst Ocean Sci Canada,"Wong, C.S.",Canada
06M220110623,Maria S. Merian,Ship,GEOMAR,"Steinhoff, T. : Fiedler, B. : Koertzinger, A.",Germany
06M220180302,Maria S. Merian,Ship,GEOMAR,"Tanhua, T.",Germany
06M220200117,Maria S. Merian,Ship,unassigned,"Ritschel, M.",Germany
06M320120320,Meteor,Ship,Bjerknes Centre Clim Res,"Bellerby, R.G.J.",Norway
06M320120407,Meteor,Ship,Bjerknes Centre Clim Res,"Bellerby, R.G.J.",Norway
06MQ20210627,FRA56,sailing yacht,Fabrice AMEDEO,"Tanhua, T. : Reynaud, T.",Germany
06MT19910903,Meteor,Ship,Univ Kiel,"Wallace, D.",Germany
06MT19920510,Meteor,Ship,Leibniz IOW,"Schneider, B.",Germany
06MT19921229,Meteor,Ship,Univ Kiel,"Wallace, D.",Germany
06MT19941012,Meteor,Ship,GEOMAR,"Koertzinger, A.",Germany
06MT19941119,Meteor,Ship,Leibniz IOW,"Schneider, B.",Germany
06MT19950714,Meteor,Ship,GEOMAR,"Koertzinger, A.",Germany
06MT19960607,Meteor,Ship,GEOMAR,"Koertzinger, A.",Germany
06MT19960622,Meteor,Ship,GEOMAR,"Koertzinger, A.",Germany
06MT19970106,Meteor,Ship,CSIC Spain,"Perez, F.F.",Spain
06MT19970516,Meteor,Ship,GEOMAR,"Koertzinger, A.",Germany
06MT19970707,Meteor,Ship,GEOMAR,"Koertzinger, A.",Germany
06MT19981228,Meteor,Ship,Univ Liege,"Borges, A.",Belgium
06MT20021015,Meteor,Ship,GEOMAR,"Koertzinger, A.",Germany
06MT20060714,Meteor,Ship,GEOMAR,"Steinhoff, T. : Koertzinger, A.",Germany
06P119910616,Poseidon,Ship,Leibniz IOW,"Schneider, B.",Germany
06P119950901,Poseidon,Ship,GEOMAR,"Mintrop, L.",Germany
06PO20050322,Poseidon,Ship,GEOMAR,"Steinhoff, T. : Koertzinger, A.",Germany
06PO20070210,Poseidon,Ship,GEOMAR,"Steinhoff, T. : Wallace, D. : Koertzinger, A.",Germany
06PO20100531,Poseidon,Ship,GEOMAR,"Steinhoff, T. : Koertzinger, A.",Germany
06ZG20091213,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100115,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100207,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100226,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100321,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100409,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100506,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100716,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100813,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100902,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20100930,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20101023,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20101118,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
06ZG20101211,Rio Blanco,Ship,LOCEAN,"Lefevre, N.",France
07AL19951011,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL19960218,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL19970503,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL19990718,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL19991101,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL19991129,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL20000113,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL20000210,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL20000305,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL20010513,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL20010607,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL20010709,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
07AL20010802,A.V. Humboldt,Ship,Leibniz IOW,"Schneider, B.",Germany
08AI20000324,Almirante Irizar,Ship,SHN Argentina,"Bianchi, A.",Argentina
08AI20010124,Almirante Irizar,Ship,SHN Argentina,"Bianchi, A.",Argentina
08AI20010808,Almirante Irizar,Ship,SHN Argentina,"Bianchi, A.",Argentina
08AI20020131,Almirante Irizar,Ship,SHN Argentina,"Bianchi, A.",Argentina
08AI20030206,Almirante Irizar,Ship,SHN Argentina,"Bianchi, A.",Argentina
08AI20040227,Almirante Irizar,Ship,SHN Argentina,"Bianchi, A.",Argentina
08AI20041225,Almirante Irizar,Ship,SHN Argentina,"Bianchi, A.",Argentina
08D820170918,Victor Angelescu,Ship,CSIC Spain,"Padin, X.A. : Negri, R.",Argentina
08D820180810,Victor Angelescu,Ship,DiplaMCC-INIDEP,"Berghoff, C. : Negri, R.",Argentina
08D820180818,Victor Angelescu,Ship,DiplaMCC-INIDEP,"Berghoff, C. : Negri, R.",Argentina
08D820190124,Victor Angelescu,Ship,DiplaMCC-INIDEP,"Berghoff, C. : Negri, R.",Argentina
08D820191014,Victor Angelescu,Ship,DiPlaMCC-INIDEP,"Berghoff, C. : Lutz, V.",Argentina
08D820191117,Victor Angelescu,Ship,DiplaMCC-INIDEP,"Berghoff, C. : Negri, R. : Lutz, V.",Argentina
08D820191205,Victor Angelescu,Ship,DiPlaMCC-INIDEP,"Berghoff, C. : Epherra, L. : Lutz, V.",Argentina
08D820221204,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Arbilla, L.",Argentina
08D820230227,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Veccia, M.",Argentina
08D820230415,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Arbilla, L.",Argentina
08D820230521,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Arbilla, L.",Argentina
08D820240120,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Veccia, M. : Arbilla, L.",Argentina
08D820240318,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Arbilla, L.",Argentina
08D820240701,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Arbilla, L.",Argentina
08D820240815,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Arbilla, L. : Maenza RA",Argentina
08D820241020,Victor Angelescu,Ship,INIDEP,"Berghoff, C. : Arbilla, L. : Veccia, M.",Argentina
08PD20051019,Puerto Deseado,Ship,SHN Argentina,"Bianchi, A.",Argentina
08PD20060310,Puerto Deseado,Ship,SHN Argentina,"Bianchi, A.",Argentina
08PD20060907,Puerto Deseado,Ship,SHN Argentina,"Bianchi, A.",Argentina
096U20150321,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20160108,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20160314,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20160426,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20160630,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20160817,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20160825,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20160831,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20160927,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20161028,Investigator,Ship,CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20170114,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20170319,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20170411,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20170504,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20170515,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20170831,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20170924,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20171011,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20171125,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20180111,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20180302,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20180405,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20180418,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20180514,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20180528,Investigator,Ship,CSIRO,"Tilbrook, B.",Australia
096U20180820,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20180911,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20181017,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20181122,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20181227,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20190118,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20190314,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20190514,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20190730,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20190807,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20190909,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20191003,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20191019,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20191223,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B.",Australia
096U20200110,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20200730,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20200827,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20201008,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20201113,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20201204,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20210129,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20210414,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20210508,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20210611,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20210630,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20211110,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20211119,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20211130,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20211214,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20220319,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20220504,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20220528,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20220714,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20220815,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20220910,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20220930,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20230125,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20230323,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20230511,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20230605,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20230629,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20230913,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20231009,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20231103,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20231115,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20240105,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20240309,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
096U20240330,Investigator,Ship,IMOS/CSIRO,"Tilbrook, B. : Akl, J. : Neill, C.",Australia
09AR19910926,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19921019,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19930105,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19930311,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19930807,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19931119,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19940101,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19940831,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19941213,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19950717,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19950916,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19960119,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19960822,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19970910,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19971114,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19980228,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19980404,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
09AR19980715,Aurora Australis,Ship,CSIRO,"Tilbrook, B.",Australia
